id,type,attributes.bearing,attributes.carriages,attributes.current_status,attributes.current_stop_sequence,attributes.direction_id,attributes.label,attributes.latitude,attributes.longitude,attributes.occupancy_status,attributes.revenue,attributes.speed,attributes.updated_at,links.self,relationships.route.data.id,relationships.route.data.type,relationships.stop.data,relationships.trip.data.id,relationships.trip.data.type,relationships.stop.data.id,relationships.stop.data.type
y1841,vehicle,,[],IN_TRANSIT_TO,6.0,1.0,1841,42.347525,-71.077358,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:55-04:00,/vehicles/y1841,504,route,,71467187,trip,71855,stop
ynk320,vehicle,,[],IN_TRANSIT_TO,,,320,42.346429,-71.104847,,REVENUE,,2025-10-28T12:44:14-04:00,/vehicles/ynk320,Shuttle-Generic,route,,BL-62957967,trip,,
y1872,vehicle,233.0,[],IN_TRANSIT_TO,4.0,0.0,1872,42.319932,-71.05135,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:11-04:00,/vehicles/y1872,16,route,,71466403,trip,121,stop
ynk301,vehicle,174.0,[],IN_TRANSIT_TO,,,301,42.457782,-71.289744,,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/ynk301,Shuttle-Generic,route,,BL-36511891,trip,,
y0810,vehicle,168.0,[],IN_TRANSIT_TO,3.0,0.0,0810,42.245898,-71.000465,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:00-04:00,/vehicles/y0810,238,route,,71988047,trip,3327,stop
y1455,vehicle,90.0,[],STOPPED_AT,1.0,0.0,1455,42.40258,-71.07608,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:28-04:00,/vehicles/y1455,108,route,,71997695,trip,52715,stop
y1342,vehicle,,[],IN_TRANSIT_TO,3.0,0.0,1342,42.351222,-71.044558,,REVENUE,,2025-10-28T12:45:02-04:00,/vehicles/y1342,741,route,,72040333,trip,74613,stop
y3208,vehicle,93.0,[],STOPPED_AT,25.0,1.0,3208,42.353148,-71.133403,FEW_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:10-04:00,/vehicles/y3208,57,route,,71374924,trip,927,stop
y1665,vehicle,225.0,[],STOPPED_AT,1.0,0.0,1665,42.30288,-71.11016,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:44:51-04:00,/vehicles/y1665,31,route,,72094205,trip,875,stop
y1452,vehicle,353.0,[],IN_TRANSIT_TO,39.0,1.0,1452,42.440068,-71.070295,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:07-04:00,/vehicles/y1452,137,route,,71997650,trip,19208,stop
1857,vehicle,358.0,[],STOPPED_AT,60.0,1.0,1857,42.0854377746582,-71.01656341552734,,REVENUE,5.8,2025-10-28T12:44:28-04:00,/vehicles/1857,CR-NewBedford,route,,Base-773000-2026,trip,MM-0200-CS,stop
y1444,vehicle,46.0,[],STOPPED_AT,1.0,1.0,1444,42.423838,-71.090138,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:03-04:00,/vehicles/y1444,106,route,,71997759,trip,5472,stop
y1744,vehicle,274.0,[],IN_TRANSIT_TO,22.0,1.0,1744,42.328838,-71.084759,MANY_SEATS_AVAILABLE,REVENUE,,2025-10-28T12:45:08-04:00,/vehicles/y1744,45,route,,71467586,trip,1148,stop
G-10012,vehicle,315.0,"[{'label': '3841', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}, {'label': '3640', 'occupancy_status': 'NO_DATA_AVAILABLE', 'occupancy_percentage': None}]",IN_TRANSIT_TO,640.0,1.0,3841-3640,42.36607,-71.061,,REVENUE,,2025-10-28T12:44:04-04:00,/vehicles/G-10012,Green-E,route,,ADDED-1583223982,trip,70207,stop
